Run,BioProject,Sample
SRR1972972,PRJNA257197,SRS803915
SRR1972973,PRJNA257197,SRS804037
SRR1972976,PRJNA257197,SRS908478
SRR1972975,PRJNA257197,SRS908483
SRR1972974,PRJNA257197,SRS908484
SRR1972969,PRJNA257197,SRS803820
SRR1972970,PRJNA257197,SRS803841
SRR1972967,PRJNA257197,SRS803858
SRR1972971,PRJNA257197,SRS803941
SRR1972968,PRJNA257197,SRS803969
SRR1972962,PRJNA257197,SRS803890
SRR1972963,PRJNA257197,SRS803992
SRR1972964,PRJNA257197,SRS803856
SRR1972965,PRJNA257197,SRS803961
SRR1972966,PRJNA257197,SRS804014
SRR1972957,PRJNA257197,SRS803978
SRR1972958,PRJNA257197,SRS803827
SRR1972959,PRJNA257197,SRS908485
SRR1972960,PRJNA257197,SRS803846
SRR1972961,PRJNA257197,SRS803922
SRR1972956,PRJNA257197,SRS803799
SRR1972955,PRJNA257197,SRS803803
SRR1972954,PRJNA257197,SRS804039
SRR1972953,PRJNA257197,SRS908486
SRR1972952,PRJNA257197,SRS908487
SRR1972948,PRJNA257197,SRS803773
SRR1972949,PRJNA257197,SRS803853
SRR1972951,PRJNA257197,SRS908488
SRR1972950,PRJNA257197,SRS908489
SRR1972947,PRJNA257197,SRS908490
SRR1972942,PRJNA257197,SRS908494
SRR1972943,PRJNA257197,SRS803840
SRR1972944,PRJNA257197,SRS908493
SRR1972945,PRJNA257197,SRS908492
SRR1972946,PRJNA257197,SRS908491
SRR1972941,PRJNA257197,SRS908495
SRR1972940,PRJNA257197,SRS908496
SRR1972939,PRJNA257197,SRS908497
SRR1972938,PRJNA257197,SRS908498
SRR1972937,PRJNA257197,SRS908499
SRR1972932,PRJNA257197,SRS908504
SRR1972933,PRJNA257197,SRS908503
SRR1972934,PRJNA257197,SRS908502
SRR1972935,PRJNA257197,SRS908501
SRR1972936,PRJNA257197,SRS908500
SRR1972927,PRJNA257197,SRS908509
SRR1972928,PRJNA257197,SRS908508
SRR1972929,PRJNA257197,SRS908507
SRR1972930,PRJNA257197,SRS908506
SRR1972931,PRJNA257197,SRS908505
SRR1972926,PRJNA257197,SRS908510
SRR1972925,PRJNA257197,SRS908511
SRR1972924,PRJNA257197,SRS908512
SRR1972923,PRJNA257197,SRS908513
SRR1972922,PRJNA257197,SRS908514
SRR1972917,PRJNA257197,SRS908519
SRR1972918,PRJNA257197,SRS908518
SRR1972919,PRJNA257197,SRS908517
SRR1972920,PRJNA257197,SRS908516
SRR1972921,PRJNA257197,SRS908515
SRR1972912,PRJNA257197,SRS908524
SRR1972913,PRJNA257197,SRS908523
SRR1972914,PRJNA257197,SRS908522
SRR1972915,PRJNA257197,SRS908521
SRR1972916,PRJNA257197,SRS908520
SRR1972907,PRJNA257197,SRS908529
SRR1972908,PRJNA257197,SRS908528
SRR1972909,PRJNA257197,SRS908527
SRR1972910,PRJNA257197,SRS908526
SRR1972911,PRJNA257197,SRS908525
SRR1972906,PRJNA257197,SRS908530
SRR1972905,PRJNA257197,SRS908531
SRR1972904,PRJNA257197,SRS908532
SRR1972903,PRJNA257197,SRS908533
SRR1972902,PRJNA257197,SRS908534
SRR1972897,PRJNA257197,SRS908538
SRR1972898,PRJNA257197,SRS908536
SRR1972899,PRJNA257197,SRS908535
SRR1972900,PRJNA257197,SRS803851
SRR1972901,PRJNA257197,SRS803886
SRR1972896,PRJNA257197,SRS804019
SRR1972895,PRJNA257197,SRS908537
SRR1972894,PRJNA257197,SRS908539
SRR1972893,PRJNA257197,SRS908540
SRR1972892,PRJNA257197,SRS908541
SRR1972891,PRJNA257197,SRS908542
SRR1972890,PRJNA257197,SRS908543
SRR1972888,PRJNA257197,SRS908544
SRR1972889,PRJNA257197,SRS908545
SRR1972887,PRJNA257197,SRS908546
SRR1972882,PRJNA257197,SRS803818
SRR1972886,PRJNA257197,SRS803907
SRR1972885,PRJNA257197,SRS908547
SRR1972884,PRJNA257197,SRS908548
SRR1972883,PRJNA257197,SRS908549
SRR1972881,PRJNA257197,SRS908550
SRR1972880,PRJNA257197,SRS908551
SRR1972879,PRJNA257197,SRS908552
SRR1972878,PRJNA257197,SRS908553
SRR1972877,PRJNA257197,SRS908554
SRR1972872,PRJNA257197,SRS908560
SRR1972873,PRJNA257197,SRS908559
SRR1972874,PRJNA257197,SRS908558
SRR1972875,PRJNA257197,SRS908556
SRR1972876,PRJNA257197,SRS908555
SRR1972871,PRJNA257197,SRS908561
SRR1972870,PRJNA257197,SRS908562
SRR1972868,PRJNA257197,SRS908563
SRR1972869,PRJNA257197,SRS908564
SRR1972867,PRJNA257197,SRS908565
SRR1972862,PRJNA257197,SRS908568
SRR1972863,PRJNA257197,SRS803833
SRR1972864,PRJNA257197,SRS803927
SRR1972865,PRJNA257197,SRS908567
SRR1972866,PRJNA257197,SRS908566
SRR1972857,PRJNA257197,SRS908569
